City,City,City.1,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Climate Description,Hotel Name
282,282,Basco,PH,20.4487,121.9702,83.44,78,56,13.33,broken clouds,Nathaniel's Lodge
284,284,Yeppoon,AU,-23.1333,150.7333,74.98,52,5,15.1,clear sky,Villa Mar Colina
285,285,Richards Bay,ZA,-28.783,32.0377,70.2,76,100,15.21,overcast clouds,BON Hotel Waterfront Richards Bay
287,287,Redding,US,40.5865,-122.3917,83.97,40,0,6.91,clear sky,Redding Inn & Suites
288,288,Allapalli,IN,19.4167,80.0667,75.27,85,100,3.0,overcast clouds,"Hotel IK Residency, GUEST HOUSE AC NON AC"
291,291,Pitimbu,BR,-7.4706,-34.8086,74.84,80,47,9.82,scattered clouds,Reserva do Abiaí
293,293,Noumea,NC,-22.2763,166.4572,76.98,59,14,12.17,few clouds,Hôtel Le Lagon
294,294,Kamaishi,JP,39.2667,141.8833,73.47,72,99,15.17,light rain,Hotel Route Inn Kamaishi
297,297,Carutapera,BR,-1.195,-46.02,77.85,81,9,7.74,clear sky,Lidera
298,298,Victoria,HK,22.2855,114.1577,88.97,75,4,5.01,clear sky,Mini Central
299,299,Huangzhou,CN,30.45,114.8,75.18,69,91,10.09,overcast clouds,City Express Hotel
303,303,Lincoln,US,40.8,-96.667,71.29,50,63,4.0,broken clouds,Courtyard by Marriott Lincoln Downtown/Haymarket
304,304,Umm Lajj,SA,25.0213,37.2685,82.99,59,0,2.91,clear sky,Moon light Furnished Units
306,306,Lorengau,PG,-2.0226,147.2712,86.11,67,16,10.83,few clouds,Lorengau Harbourside Hotel
307,307,Denpasar,ID,-8.65,115.2167,78.46,88,75,3.44,broken clouds,OYO 3156 Hotel Warta 2
308,308,Conceicao Do Araguaia,BR,-8.2578,-49.2647,81.25,41,40,2.46,scattered clouds,Tarumã Tropical Hotel
310,310,Del Rio,US,29.3627,-100.8968,75.24,49,100,10.29,overcast clouds,"Holiday Inn Express & Suites del Rio, an IHG Hotel"
318,318,Celestun,MX,20.8667,-90.4,79.14,73,27,13.53,scattered clouds,Posada Lilia
320,320,Port Hedland,AU,-20.3167,118.5667,80.65,61,40,12.66,scattered clouds,The Esplanade Hotel
321,321,Pyapon,MM,16.2833,95.6833,81.48,84,13,9.93,few clouds,Aung Naing Thu Motel
323,323,Puerto Plata,DO,19.7934,-70.6884,75.45,87,100,2.35,overcast clouds,Be Live Collection Marien
325,325,Lao Cai,VN,22.4833,103.95,78.87,85,61,1.12,broken clouds,Legend Hotel
328,328,Vila Velha,BR,-20.3297,-40.2925,75.15,94,100,10.0,moderate rain,Hotel Vitória Palace
331,331,Colares,PT,38.7992,-9.4469,72.34,76,5,13.0,clear sky,Arribas Sintra Hotel
333,333,Poya,NC,-21.35,165.15,76.84,49,33,12.53,scattered clouds,
334,334,Hambantota,LK,6.1241,81.1185,77.34,94,20,3.44,few clouds,Bungalow 63
335,335,Manta,EC,-0.95,-80.7333,71.56,87,100,15.57,overcast clouds,Balandra Hotel
336,336,Spokane,US,47.6166,-117.3677,71.22,54,0,3.44,clear sky,Madison Inn by Riversage
337,337,Tiarei,PF,-17.5333,-149.3333,75.22,80,8,22.77,light rain,Le Rocher de Tahiti
341,341,Bridgetown,BB,13.1,-59.6167,81.36,80,70,14.74,broken clouds,Hilton Barbados Resort
344,344,Katsuura,JP,35.1333,140.3,78.03,69,72,20.15,broken clouds,Katsuura Hotel Mikazuki
346,346,Riyadh,SA,24.6877,46.7219,75.34,25,0,0.63,clear sky,"InterContinental Riyadh, an IHG Hotel"
349,349,Bawku,GH,11.0616,-0.2417,75.97,83,15,6.87,few clouds,Ultimate Guest House
353,353,Sao Filipe,CV,14.8961,-24.4956,79.07,80,100,8.5,light rain,Hotel Xaguate
357,357,Vieques,PR,18.425,-65.8329,82.11,81,100,8.75,overcast clouds,"The St. Regis Bahia Beach Resort, Puerto Rico"
359,359,Mutis,CO,6.2262,-77.4044,78.58,89,80,4.43,moderate rain,Paraiso Escondido
360,360,Geraldton,AU,-28.7667,114.6,73.81,35,0,11.5,clear sky,Broadwater Mariner Resort
363,363,Boyolangu,ID,-8.1181,111.8935,78.67,78,98,6.06,overcast clouds,Yos ega cv
373,373,Bambous Virieux,MU,-20.3428,57.7575,70.21,79,20,11.34,few clouds,Casa Tia Villa
375,375,Airai,TL,-8.9266,125.4092,74.68,61,86,1.66,overcast clouds,
384,384,Flinders,AU,-34.5833,150.8552,71.06,66,83,5.01,broken clouds,Shellharbour Resort & Conference Centre
387,387,Thinadhoo,MV,0.5333,72.9333,81.86,74,100,15.21,overcast clouds,
392,392,Kamakwie,SL,9.5,-12.2333,72.75,98,100,1.66,overcast clouds,White House Hotel
393,393,Sakakah,SA,29.9697,40.2064,76.75,17,0,7.14,clear sky,Fakhamat Al Orjoana Apartment
394,394,Pokaran,IN,26.9167,71.9167,79.88,53,0,9.08,clear sky,Motel Pokaran - RTDC
398,398,Daye,CN,30.0833,114.95,74.41,75,99,5.01,overcast clouds,丽江花马驿精品客栈
399,399,Puerto Ayacucho,VE,5.6639,-67.6236,76.08,90,100,2.75,overcast clouds,Posada Turistica Manapiare
402,402,Abu Dhabi,AE,24.4667,54.3667,84.31,61,0,6.91,clear sky,Beach Rotana
403,403,Chlorakas,CY,34.8042,32.4083,72.48,68,0,8.05,clear sky,Elysium Hotel
404,404,Xai-Xai,MZ,-25.0519,33.6442,71.31,70,0,6.64,clear sky,Complexo da Familia
405,405,Bujaru,BR,-1.515,-48.0447,73.72,95,69,5.17,broken clouds,Hotel & Restaurante Beira Rio
410,410,Sungaipenuh,ID,-2.0833,101.3833,72.59,77,100,3.31,overcast clouds,Penginapan Citra Alam
411,411,Itarema,BR,-2.9248,-39.9167,77.76,79,95,14.23,overcast clouds,"Sea Lounge! Bar, Club & Restaurant"
412,412,Belmonte,BR,-15.8631,-38.8828,74.66,87,45,9.78,scattered clouds,Pousada Monte Carmelo O Pão
416,416,Pringsewu,ID,-5.3582,104.9744,78.28,86,100,5.06,overcast clouds,Urban Style by Front One
418,418,Banda Aceh,ID,5.5577,95.3222,82.69,70,51,11.41,broken clouds,OYO 884 Rumoh PMI Hotel
420,420,Jambi,ID,-1.6,103.6167,79.88,84,100,2.89,overcast clouds,ASTON Jambi Hotel & Conference Center
422,422,Bam,IR,29.106,58.357,74.14,24,0,3.96,clear sky,Bam Tourist Hotel
424,424,Sur,OM,22.5667,59.5289,77.43,74,0,5.21,clear sky,Sur Plaza Hotel
425,425,Ascension,US,30.2169,-90.9001,71.1,74,0,0.0,clear sky,Highland Inn
426,426,Kavieng,PG,-2.5744,150.7967,85.82,63,100,9.48,overcast clouds,Nusa Island Retreat
428,428,Kalawit,PH,8.0667,122.5167,85.32,71,80,2.75,broken clouds,Ompoy Pension House
431,431,Bom Jesus,BR,-9.0744,-44.3586,78.35,31,2,3.15,clear sky,Hotel Brasão & Floricultura Bella Flor
432,432,Simbahan,PH,6.3032,120.5836,83.08,73,47,5.03,scattered clouds,
435,435,Buraydah,SA,26.326,43.975,75.04,16,4,7.18,clear sky,Mövenpick Qassim
436,436,Inverell,AU,-29.7833,151.1167,73.67,45,36,3.0,scattered clouds,Sapphire City Motor Inn
440,440,Baghdad,IQ,33.3406,44.4009,81.77,16,0,6.06,clear sky,Baghdad Hotel
441,441,Auki,SB,-8.7676,160.7034,85.28,64,100,3.67,overcast clouds,Auki Motel
442,442,Innisfail,AU,-17.5333,146.0333,81.0,64,76,10.98,broken clouds,Moondarra Motel
443,443,Cayenne,GF,4.9333,-52.3333,78.84,83,0,1.14,clear sky,Hôtel Le Dronmi
445,445,Lompoc,US,34.6391,-120.4579,70.84,84,5,4.0,clear sky,"Holiday Inn Express Lompoc, an IHG Hotel"
447,447,Bubaque,GW,11.2833,-15.8333,81.01,78,100,10.18,moderate rain,"Casa Dora, Bubaque"
449,449,Ojinaga,MX,29.5667,-104.4167,80.56,29,0,5.75,clear sky,Suites Las Palmas
450,450,Duku,NG,11.2361,4.9073,74.17,89,67,4.16,broken clouds,
456,456,Nouadhibou,MR,20.931,-17.0347,74.21,81,83,9.64,broken clouds,El Medina
457,457,Chabahar,IR,25.2919,60.643,79.2,80,0,1.36,clear sky,هتل گدروشیا
460,460,Djibo,BF,14.1022,-1.6306,85.42,52,18,14.83,few clouds,Centre Des Ressources DPENA
463,463,Edd,ER,13.9297,41.6925,88.74,57,55,7.85,broken clouds,
467,467,Alyangula,AU,-13.8483,136.4192,85.08,68,84,13.11,broken clouds,Groote Eylandt Lodge
470,470,Baglung,NP,28.2719,83.5898,70.74,75,30,1.77,scattered clouds,Hotel Peace Palace
471,471,Canutama,BR,-6.5339,-64.3831,72.66,96,90,3.67,overcast clouds,Endereço Atual- Mauricio da Silva Lima
476,476,Matay,EG,28.419,30.7792,70.45,60,0,8.63,clear sky,Nag Aespen
479,479,Thanh Hoa,VN,19.8,105.7667,80.91,82,14,4.65,few clouds,KHÁCH SẠN NGỌC LY 8
484,484,Samarai,PG,-10.6167,150.6667,81.5,82,93,13.82,overcast clouds,Nuli Sapi
487,487,Bintulu,MY,3.1667,113.0333,82.02,75,79,2.15,broken clouds,900 Boutique INN
489,489,Bonthe,SL,7.5264,-12.505,76.08,93,100,5.06,overcast clouds,Bonthe Holiday Village
490,490,Luba,GQ,3.4568,8.5547,76.75,87,96,2.82,overcast clouds,
491,491,Mahibadhoo,MV,3.7833,72.9667,81.52,77,100,17.18,overcast clouds,Omadhoo Inn
493,493,Qui Nhon,VN,13.7667,109.2333,81.14,81,99,8.37,heavy intensity rain,Seagull Hotel
496,496,Jieshi,CN,22.8134,115.8257,82.67,74,0,4.34,clear sky,Yuehai Hotel
498,498,Asfi,MA,32.2994,-9.2372,70.48,64,32,7.58,scattered clouds,Hôtel Abda
499,499,Namatanai,PG,-3.6667,152.4333,85.55,66,78,7.29,light rain,Seagulls Inn Namatani
501,501,Manggar,ID,-2.8833,108.2667,83.32,68,81,2.93,broken clouds,Guest Hotel
503,503,Port Blair,IN,11.6667,92.75,82.0,79,100,14.0,overcast clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
504,504,Vanimo,PG,-2.6741,141.3028,87.98,60,70,6.62,broken clouds,Vahmoneh Lodge Vanimo
507,507,Moerai,PF,-22.4333,-151.3333,71.6,64,2,23.89,clear sky,Le Manotel
514,514,Kalmunai,LK,7.4167,81.8167,81.14,65,100,2.42,overcast clouds,VS Villa
516,516,Roebourne,AU,-20.7833,117.1333,81.25,39,0,12.73,clear sky,Latitude20 Roebourne Village
517,517,Nabire,ID,-3.3667,135.4833,81.66,78,90,2.71,overcast clouds,Hotel Nusantara I
519,519,Benguela,AO,-12.5763,13.4055,71.06,84,22,2.59,few clouds,Hotel Praia Morena
522,522,Kingman,US,35.1894,-114.053,77.25,63,0,9.22,clear sky,Rodeway Inn Kingman Route 66
526,526,Outram,MY,1.2829,103.8379,80.62,88,75,3.44,broken clouds,Grand Copthorne Waterfront
531,531,Miandrivazo,MG,-19.5167,45.4667,72.46,81,0,0.29,clear sky,Hôtel Arc En Ciel Miandrivazo
532,532,Katobu,ID,-4.9408,122.5276,88.68,57,89,1.52,overcast clouds,La Ode Husein
539,539,Kulhudhuffushi,MV,6.6221,73.07,80.58,80,100,14.92,overcast clouds,Haajy Guest House 1
542,542,Catalina,US,32.5056,-110.9211,85.23,32,97,1.99,overcast clouds,Miraval Arizona Resort & Spa
544,544,Miri,MY,4.4148,114.0089,83.26,74,95,5.55,overcast clouds,"Mega Hotel, Miri"
547,547,Tual,ID,-5.6667,132.75,82.45,78,58,6.62,broken clouds,Grand Vilia Hotel
548,548,Faanui,PF,-16.4833,-151.75,78.42,75,4,14.74,light rain,Bora-Bora Pearl Beach Resort & Spa
550,550,Meulaboh,ID,4.1363,96.1285,77.14,85,98,1.34,light rain,Kost Pria
553,553,Batticaloa,LK,7.7102,81.6924,79.97,68,100,5.61,overcast clouds,Grand Star Guest House
555,555,Sisophon,KH,13.5859,102.9737,76.14,92,100,6.73,overcast clouds,Pyramid Hotel
556,556,Bata,GQ,1.8639,9.7658,75.85,87,99,2.57,moderate rain,Hotel Elik Melen
557,557,Aswan,EG,24.0934,32.907,81.66,38,0,10.45,clear sky,Nuba Nile
558,558,Timizart,DZ,36.8,4.2667,70.97,61,100,1.03,overcast clouds,TOUATI LOTFI
559,559,Tarakan,ID,3.3,117.6333,85.5,74,20,4.61,few clouds,RedDoorz Syariah near Taman Berlabuh Tarakan
